騎手,騎乗数,勝利数,複勝数,騎手_勝率,騎手_複勝率,騎手_key,騎手_芝_勝率,騎手_芝_騎乗数,騎手_ダート_勝率,騎手_ダート_騎乗数
アスムッ,56,6,19,0.1071428571428571,0.3392857142857143,アスムッ,0.075,40.0,0.1875,16.0
アッゼニ,202,16,49,0.0792079207920792,0.2425742574257425,アッゼニ,0.06779661016949153,118.0,0.09523809523809523,84.0
アハーン,2,0,0,0.0,0.0,アハーン,,,0.0,2.0
アプ,2,0,0,0.0,0.0,アプ,0.0,2.0,,
アラン,4,0,0,0.0,0.0,アラン,0.0,4.0,,
アルカシ,2,0,0,0.0,0.0,アルカシ,0.0,1.0,0.0,1.0
アン,2,0,0,0.0,0.0,アン,0.0,1.0,0.0,1.0
アングラ,3,0,0,0.0,0.0,アングラ,0.0,2.0,0.0,1.0
アントレ,3,1,1,0.3333333333333333,0.3333333333333333,アントレ,0.3333333333333333,3.0,,
アヴドゥ,172,22,60,0.127906976744186,0.3488372093023256,アヴドゥ,0.14414414414414414,111.0,0.09836065573770492,61.0
アーゲリ,4,0,0,0.0,0.0,アーゲリ,0.0,4.0,,
イネス,109,4,19,0.036697247706422,0.1743119266055046,イネス,0.04477611940298507,67.0,0.023809523809523808,42.0
イム,1,0,0,0.0,0.0,イム,0.0,1.0,,
ウィリア,870,89,263,0.1022988505747126,0.3022988505747126,ウィリア,0.09980430528375733,511.0,0.10584958217270195,359.0
ウィルキ,4,0,1,0.0,0.25,ウィルキ,0.0,4.0,,
ウィルソ,4,0,1,0.0,0.25,ウィルソ,0.0,4.0,,
ウィーバ,8,0,2,0.0,0.25,ウィーバ,0.0,6.0,0.0,2.0
ウェルズ,1,0,0,0.0,0.0,ウェルズ,0.0,1.0,,
ウォルシ,6,1,1,0.1666666666666666,0.1666666666666666,ウォルシ,0.16666666666666666,6.0,,
ウォルス,10,0,1,0.0,0.1,ウォルス,0.0,9.0,0.0,1.0
ウォーカ,4,0,0,0.0,0.0,ウォーカ,0.0,3.0,0.0,1.0
ウッドバ,2,0,0,0.0,0.0,ウッドバ,0.0,2.0,,
ウッドワ,2,0,0,0.0,0.0,ウッドワ,0.0,2.0,,
ウー,5,0,2,0.0,0.4,ウー,0.0,4.0,0.0,1.0
エスピノ,47,6,15,0.1276595744680851,0.3191489361702128,エスピノ,0.11764705882352941,34.0,0.15384615384615385,13.0
エスポジ,178,11,38,0.0617977528089887,0.2134831460674157,エスポジ,0.05128205128205128,117.0,0.08196721311475409,61.0
エデリー,50,5,11,0.1,0.22,エデリー,0.10204081632653061,49.0,0.0,1.0
エノン,7,0,2,0.0,0.2857142857142857,エノン,0.0,7.0,,
エバンス,4,1,2,0.25,0.5,エバンス,0.25,4.0,,
オサリバ,61,5,12,0.081967213114754,0.1967213114754098,オサリバ,0.06,50.0,0.18181818181818182,11.0
オドノヒ,107,10,31,0.0934579439252336,0.2897196261682243,オドノヒ,0.05,60.0,0.14893617021276595,47.0
オリヴァ,245,22,76,0.0897959183673469,0.310204081632653,オリヴァ,0.09333333333333334,150.0,0.08421052631578947,95.0
オールプ,181,7,31,0.0386740331491712,0.1712707182320442,オールプ,0.030303030303030304,99.0,0.04878048780487805,82.0
カステリ,14,0,1,0.0,0.0714285714285714,カステリ,0.0,7.0,0.0,7.0
カデール,2,0,0,0.0,0.0,カデール,0.0,1.0,0.0,1.0
カベル,1,0,0,0.0,0.0,カベル,0.0,1.0,,
カラン,2,0,0,0.0,0.0,カラン,0.0,2.0,,
カーソン,13,2,3,0.1538461538461538,0.2307692307692307,カーソン,0.18181818181818182,11.0,0.0,2.0
カーベリ,1,0,0,0.0,0.0,カーベリ,0.0,1.0,,
カーモデ,6,0,1,0.0,0.1666666666666666,カーモデ,0.0,5.0,0.0,1.0
ガウチ,6,0,1,0.0,0.1666666666666666,ガウチ,0.0,6.0,,
ガルシア,13,2,3,0.1538461538461538,0.2307692307692307,ガルシア,0.0,8.0,0.4,5.0
キネーン,108,8,21,0.074074074074074,0.1944444444444444,キネーン,0.05747126436781609,87.0,0.14285714285714285,21.0
キム,9,2,3,0.2222222222222222,0.3333333333333333,キム,0.2857142857142857,7.0,0.0,2.0
キャシデ,17,2,3,0.1176470588235294,0.1764705882352941,キャシデ,0.125,16.0,0.0,1.0
キャラハ,1,0,0,0.0,0.0,キャラハ,0.0,1.0,,
キャロウ,1,0,0,0.0,0.0,キャロウ,0.0,1.0,,
キャンベ,5,0,0,0.0,0.0,キャンベ,0.0,4.0,0.0,1.0
キング,1,0,0,0.0,0.0,キング,0.0,1.0,,
キングズ,1,0,0,0.0,0.0,キングズ,0.0,1.0,,
ギャラウ,5,1,1,0.2,0.2,ギャラウ,0.2,5.0,,
ギュイヨ,58,2,17,0.0344827586206896,0.293103448275862,ギュイヨ,0.06896551724137931,29.0,0.0,29.0
クィン,4,0,1,0.0,0.25,クィン,0.0,4.0,,
クウィリ,64,2,8,0.03125,0.125,クウィリ,0.06666666666666667,30.0,0.0,34.0
クラスト,316,22,53,0.0696202531645569,0.1677215189873417,クラスト,0.1267605633802817,142.0,0.022988505747126436,174.0
クラーク,14,1,3,0.0714285714285714,0.2142857142857142,クラーク,0.09090909090909091,11.0,0.0,3.0
クリッパ,2,0,0,0.0,0.0,クリッパ,0.0,1.0,0.0,1.0
クリンゲ,1,0,0,0.0,0.0,クリンゲ,0.0,1.0,,
クルホー,2,0,1,0.0,0.5,クルホー,0.0,2.0,,
